# Population by region and gSSP SSP in future periods
scenario,GCAM_region_ID,year,value
SSP3,26,2063,131822.3510060014
SSP3,26,2064,132571.80966429942
SSP3,26,2065,133321.26832259743
SSP3,26,2066,134048.48069032954
SSP3,26,2067,134775.69305806165
SSP3,26,2068,135502.90542579378
SSP3,26,2069,136230.1177935259
SSP3,26,2070,136957.33016125803
SSP3,26,2071,137669.9204623471
SSP3,26,2072,138382.5107634362
SSP3,26,2073,139095.10106452528
SSP3,26,2074,139807.6913656144
SSP3,26,2075,140520.28166670346
SSP3,26,2076,141228.94207971302
SSP3,26,2077,141937.60249272257
SSP3,26,2078,142646.26290573215
SSP3,26,2079,143354.9233187417
SSP3,26,2080,144063.58373175125
SSP3,26,2081,144772.68523444518
SSP3,26,2082,145481.7867371391
SSP3,26,2083,146190.88823983303
SSP3,26,2084,146899.98974252696
SSP3,26,2085,147609.0912452209
SSP3,26,2086,148329.478064877
SSP3,26,2087,149049.86488453316
SSP3,26,2088,149770.2517041893
SSP3,26,2089,150490.63852384544
SSP3,26,2090,151211.02534350153
SSP3,26,2091,151943.91771704608
SSP3,26,2092,152676.81009059062
SSP3,26,2093,153409.70246413513
SSP3,26,2094,154142.59483767967
SSP3,26,2095,154875.4872112242
SSP3,26,2096,155624.32773066833
SSP3,26,2097,156373.16825011245
SSP3,26,2098,157122.00876955656
SSP3,26,2099,157870.8492890007
SSP3,26,2100,158619.68980844482
SSP3,27,2016,243781.9382552919
SSP3,27,2017,247788.14851058376
SSP3,27,2018,251794.35876587566
SSP3,27,2019,255800.56902116755
SSP3,27,2020,259806.77927645948
SSP3,27,2021,264072.1150832956
SSP3,27,2022,268337.4508901319
SSP3,27,2023,272602.7866969681
SSP3,27,2024,276868.1225038042
SSP3,27,2025,281133.4583106405
SSP3,27,2026,285440.0424568985
SSP3,27,2027,289746.6266031566
SSP3,27,2028,294053.21074941463
SSP3,27,2029,298359.7948956727
SSP3,27,2030,302666.3790419307
SSP3,27,2031,306804.40757861035
SSP3,27,2032,310942.43611529
SSP3,27,2033,315080.46465196955
SSP3,27,2034,319218.4931886492
SSP3,27,2035,323356.5217253288
SSP3,27,2036,327399.65294240374
SSP3,27,2037,331442.7841594786
SSP3,27,2038,335485.91537655354
SSP3,27,2039,339529.0465936285
SSP3,27,2040,343572.1778107034
SSP3,27,2041,347588.07065141026
SSP3,27,2042,351603.9634921171
SSP3,27,2043,355619.85633282404
SSP3,27,2044,359635.74917353096
SSP3,27,2045,363651.6420142379
SSP3,27,2046,367603.0523914379
SSP3,27,2047,371554.462768638
SSP3,27,2048,375505.8731458381
SSP3,27,2049,379457.28352303815
SSP3,27,2050,383408.69390023826
SSP3,27,2051,387160.75719686627
SSP3,27,2052,390912.8204934943
SSP3,27,2053,394664.8837901222
SSP3,27,2054,398416.94708675024
SSP3,27,2055,402169.0103833783
