# EIA international shipping data converted to EJ, aggregated by country, 
# adding USSR data to Russia
Country,year,value,iso,GCAM_region_ID
Czech Republic,1987,0,cze,12
Denmark,1987,0.02822489672547883,dnk,13
Djibouti,1987,0.0036180988542496915,dji,2
Dominica,1987,4.878538493967829e-5,dma,9
Dominican Republic,1987,0,dom,9
Ecuador,1987,0.005587291670289592,ecu,26
Egypt,1987,0.06259713629749052,egy,3
El Salvador,1987,0.0026656513066685987,slv,9
Equatorial Guinea,1987,0,gnq,5
Eritrea,1987,0,eri,2
Estonia,1987,0,est,12
Ethiopia,1987,4.002082439678284e-4,eth,2
Falkland Islands (Islas Malvinas),1987,4.0883255135135134e-5,flk,13
Faroe Islands,1987,0,fro,13
Fiji,1987,0.0042021865616621995,fji,29
Finland,1987,0.01906757926327802,fin,13
Former Czechoslovakia,1987,0,cze,12
Former Serbia and Montenegro,1987,0,scg,15
Russia,1987,0.1837953355855856,rus,23
France,1987,0.09021511061094607,fra,13
French Guiana,1987,0,guf,25
French Polynesia,1987,0.0012246612630727241,pyf,29
Gabon,1987,0.003794166445064367,gab,5
"Gambia, The",1987,0,gmb,5
Georgia,1987,0,geo,10
Germany,1987,0,deu,13
"Germany, East",1987,0.02366997406890805,deu,13
"Germany, West",1987,0.12039297549392554,deu,13
Ghana,1987,0.002001041219839142,gha,5
Gibraltar,1987,0.014777058449568874,gib,13
Greece,1987,0.07428489957853296,grc,13
Greenland,1987,0,grl,13
Grenada,1987,4.878538493967829e-5,grd,9
Guadeloupe,1987,1.9516155017091152e-4,glp,9
Guam,1987,0.001000520609919571,gum,29
Guatemala,1987,0.0054028112935656835,gtm,9
Guinea,1987,6.003123659517426e-4,gin,5
Guinea-Bissau,1987,2.001041219839142e-4,gnb,5
Guyana,1987,2.1325931549283873e-4,guy,25
Haiti,1987,8.004164879356568e-4,hti,9
Hawaiian Trade Zone,1987,0,usa,1
Honduras,1987,0,hnd,9
Hong Kong,1987,0.09237238928338526,hkg,11
Hungary,1987,0,hun,12
Iceland,1987,0,isl,16
India,1987,0.036787910954520206,ind,17
Indonesia,1987,0.012503202600958867,idn,18
Iran,1987,0.05483333672982634,irn,21
Iraq,1987,0.00846927175748134,irq,21
Ireland,1987,6.483854282902206e-4,irl,13
Israel,1987,0.005459297141813395,isr,21
Italy,1987,0.13736276649940826,ita,13
Jamaica,1987,0.001248697794241963,jam,9
Japan,1987,0.21973595881639016,jpn,19
Jordan,1987,0.008004164879356568,jor,21
Kazakhstan,1987,0,kaz,10
Kenya,1987,0.009605598768507112,ken,2
Kiribati,1987,0,kir,29
"Korea, North",1987,0,prk,29
"Korea, South",1987,0.0630778669208753,kor,28
Kosovo,1987,0,srb,15
Kuwait,1987,0.05139010363983286,kwt,21
Kyrgyzstan,1987,0,kgz,10
Laos,1987,0,lao,29
Latvia,1987,0,lva,12
Lebanon,1987,0.0073239310472671066,lbn,21
