# For the SSP scenarios, SSP GDP projections are scaled to match 
# historical values in the base year (2010).  For the gSSP scenarios 
# IMF growth projections are applied from 2010-2020, and the SSP projections 
# are scaled to match the 2020 values resulting from this process.
GCAM_region_ID,year,value,scenario
17,2071,8833897.79585436,gSSP3
17,2072,8956474.824637443,gSSP3
17,2073,9079051.853420528,gSSP3
17,2074,9201628.88220361,gSSP3
17,2075,9324205.910986695,gSSP3
17,2076,9444762.970997311,gSSP3
17,2077,9565320.031007929,gSSP3
17,2078,9685877.091018545,gSSP3
17,2079,9806434.15102916,gSSP3
17,2080,9926991.211039776,gSSP3
17,2081,10044964.611760998,gSSP3
17,2082,10162938.012482218,gSSP3
17,2083,10280911.41320344,gSSP3
17,2084,10398884.81392466,gSSP3
17,2085,10516858.214645883,gSSP3
17,2086,10635058.877682393,gSSP3
17,2087,10753259.540718904,gSSP3
17,2088,10871460.203755416,gSSP3
17,2089,10989660.866791926,gSSP3
17,2090,11107861.529828437,gSSP3
17,2091,11227140.056039486,gSSP3
17,2092,11346418.58225054,gSSP3
17,2093,11465697.108461589,gSSP3
17,2094,11584975.634672642,gSSP3
17,2095,11704254.16088369,gSSP3
17,2096,11825008.95910236,gSSP3
17,2097,11945763.757321032,gSSP3
17,2098,12066518.5555397,gSSP3
17,2099,12187273.35375837,gSSP3
17,2100,12308028.151977042,gSSP3
17,2025,3068788.0116621726,gSSP4
17,2026,3239375.134730731,gSSP4
17,2027,3409962.2577992897,gSSP4
17,2028,3580549.380867848,gSSP4
17,2029,3751136.5039364067,gSSP4
17,2030,3921723.6270049657,gSSP4
17,2031,4108209.4630842097,gSSP4
17,2032,4294695.299163455,gSSP4
17,2033,4481181.1352427,gSSP4
17,2034,4667666.971321945,gSSP4
17,2035,4854152.8074011905,gSSP4
17,2036,5056218.774003618,gSSP4
17,2037,5258284.740606047,gSSP4
17,2038,5460350.707208476,gSSP4
17,2039,5662416.673810904,gSSP4
17,2040,5864482.640413333,gSSP4
17,2041,6074651.427036426,gSSP4
17,2042,6284820.213659519,gSSP4
17,2043,6494989.000282612,gSSP4
17,2044,6705157.786905705,gSSP4
17,2045,6915326.573528798,gSSP4
17,2046,7129087.518367792,gSSP4
17,2047,7342848.463206785,gSSP4
17,2048,7556609.408045778,gSSP4
17,2049,7770370.352884771,gSSP4
17,2050,7984131.297723765,gSSP4
17,2051,8201412.994359045,gSSP4
17,2052,8418694.690994326,gSSP4
17,2053,8635976.387629608,gSSP4
17,2054,8853258.084264887,gSSP4
17,2055,9070539.780900171,gSSP4
17,2056,9288747.282531198,gSSP4
17,2057,9506954.784162227,gSSP4
17,2058,9725162.285793256,gSSP4
17,2059,9943369.787424285,gSSP4
17,2060,10161577.289055312,gSSP4
17,2061,10373342.538341284,gSSP4
17,2062,10585107.787627257,gSSP4
17,2063,10796873.036913227,gSSP4
17,2064,11008638.2861992,gSSP4
17,2065,11220403.535485173,gSSP4
17,2066,11417992.332974963,gSSP4
17,2067,11615581.130464753,gSSP4
17,2068,11813169.927954543,gSSP4
17,2069,12010758.725444334,gSSP4
17,2070,12208347.522934124,gSSP4
17,2071,12387521.569395335,gSSP4
17,2072,12566695.615856549,gSSP4
17,2073,12745869.662317764,gSSP4
17,2074,12925043.708778976,gSSP4
