# Units converted to constant 1990 USD
iso,year,value
chn,1970,109516.7311654696
col,1970,40153.23878582507
cod,1970,13411.998353404926
cog,1970,1468.091689945762
cri,1970,4234.248362543345
civ,1970,6038.100959484692
hrv,1970,14141.361822645498
cub,1970,12930.712401477953
cyp,1970,1738.260415842562
cze,1970,50673.279715078876
dnk,1970,97537.22446132719
dji,1970,181.74564222937926
dma,1970,98.40252063603404
dom,1970,4428.537270042777
ecu,1970,9721.800755278053
egy,1970,18319.099095148238
slv,1970,6208.3697676371485
gnq,1970,87.30810036751265
eri,1970,504.6649127878601
est,1970,5947.014964276187
eth,1970,4755.982309402199
fji,1970,799.6624340601256
fin,1970,54790.36643463312
fra,1970,687063.765562482
gab,1970,2682.4128641882617
gmb,1970,135.5066211487735
geo,1970,6479.987800308236
deu,1970,977381.6157714307
gha,1970,6167.440869365052
grc,1970,75046.31857519684
grd,1970,128.2691248298278
gtm,1970,6937.858575196846
gin,1970,963.0877699884409
gnb,1970,237.91528430167645
guy,1970,988.7913608638522
hti,1970,2891.3287535294053
hnd,1970,2326.861036603076
hkg,1970,15137.748685648234
hun,1970,37124.84730293121
isl,1970,2144.619120597504
ind,1970,136455.16835439287
idn,1970,46953.73975676983
irn,1970,68384.19110856441
irq,1970,13347.567860621804
irl,1970,23381.00585451635
isr,1970,25088.615114254946
ita,1970,606173.5148743837
jam,1970,5685.171341470642
jpn,1970,1233060.57230219
jor,1970,1148.9539424427733
kaz,1970,35098.054118414155
ken,1970,3680.508946058624
kwt,1970,39505.721238972146
kgz,1970,1494.5367559300935
lao,1970,805.9108791061142
lva,1970,6999.736124322027
lbn,1970,5533.72768917517
lso,1970,226.23896439474015
lbr,1970,885.8021833907983
lby,1970,9441.227629543275
ltu,1970,11906.612576441647
lux,1970,7795.621257248988
mac,1970,1172.746453789233
mkd,1970,3470.8680734926543
mdg,1970,3269.6407005166907
mwi,1970,854.6872755060707
mys,1970,13790.605834955191
mdv,1970,54.45639918495173
mli,1970,1491.3742722359984
mlt,1970,734.0590384801571
mrt,1970,780.0140033491073
mus,1970,831.6415166714415
mex,1970,178928.7624583831
mda,1970,3572.128241837167
mng,1970,792.7153928038645
mar,1970,12081.189064719772
moz,1970,1102.4666195552304
nam,1970,2641.6686750180293
npl,1970,2262.038696653856
nld,1970,194037.10941306647
nzl,1970,36684.13798263206
nic,1970,3535.483935053002
ner,1970,1802.855167791268
nga,1970,59246.56587170645
nor,1970,82258.15352249038
omn,1970,3792.4024215923573
pak,1970,18104.18345837326
pan,1970,3742.112070232461
png,1970,1990.6647438673788
pry,1970,2119.707799834026
per,1970,29205.83376888195
phl,1970,29688.03666956461
pol,1970,81469.11581983975
prt,1970,48149.0451289752
pri,1970,18499.71820975884
zaf,1970,87742.16675689827
rom,1970,52899.446584799596
rus,1970,560186.9515555071
rwa,1970,807.8358118177056
wsm,1970,215.92870023117732
stp,1970,47.54511233340907
sau,1970,48212.07051323342
sen,1970,2756.076833038598
srb,1970,14455.241957498936
syc,1970,112.03695492536131
sle,1970,861.3394418747097
sgp,1970,8904.660882129201
svk,1970,20797.980999990115
svn,1970,9259.111051856826
slb,1970,62.81389233657046
kor,1970,41693.64013109927
esp,1970,297105.6458323865
lka,1970,5122.771047134486
kna,1970,80.38836967131326
lca,1970,181.3577531154602
vct,1970,109.1630792029322
sdn,1970,7612.165538574009
sur,1970,1624.8391321662498
swz,1970,345.4944169885695
swe,1970,133038.11593740428
che,1970,194444.45895021784
syr,1970,4150.278945159601
twn,1970,19715.81654943144
tjk,1970,3401.420089892413
tza,1970,2982.6924720660727
tha,1970,21548.394710089808
tgo,1970,808.4822936742373
ton,1970,135.28279329783345
tto,1970,4332.1395688048915
tun,1970,4096.343227739302
tur,1970,93102.49086059215
tkm,1970,2806.7557331877765
uga,1970,1539.5840074984435
ukr,1970,79281.23650823445
are,1970,24924.329561652223
gbr,1970,601382.8864148742
usa,1970,3153021.06
ury,1970,10274.931951077346
uzb,1970,6996.338796198417
vut,1970,136.844112948894
ven,1970,109540.14964088479
vnm,1970,10513.147321702018
yem,1970,4736.206561345965
zmb,1970,4557.351418658183
afg,1971,2448.081662105689
alb,1971,2742.145149030339
dza,1971,23130.553505893044
ago,1971,11932.99959099396
atg,1971,154.58185993617923
arg,1971,124235.67175289712
arm,1971,2496.8719116882858
aus,1971,222656.26749389945
aut,1971,97365.04919137333
aze,1971,11581.128751938826
bhs,1971,2247.5964239140094
bhr,1971,4064.7421391114485
bgd,1971,14236.117591902863
brb,1971,1609.3888754705044
blr,1971,10699.85523992057
bel,1971,132714.61113899288
blz,1971,110.66008050602149
ben,1971,1041.1946524140246
btn,1971,74.48025114551326
bol,1971,4346.211103990278
bih,1971,736.0618128846777
bwa,1971,427.41936848480054
bra,1971,327038.61336777936
brn,1971,3590.064814979105
bgr,1971,15672.791582971908
bfa,1971,1051.7507775856786
mmr,1971,7947.557687041225
bdi,1971,621.2184010590687
khm,1971,680.5844341391605
cmr,1971,3699.2252554805814
can,1971,358378.33861649263
cpv,1971,75.13511087916538
caf,1971,610.309811340532
tcd,1971,1490.0047861807334
chl,1971,30088.360664091433
chn,1971,130762.96157516718
