# Values are calculated using L1321.in_EJ_R_cement_F_Y then added GCAM region information and supplysector, subsector, technology, and input information
region,supplysector,subsector,stub.technology,year,minicam.energy.input,calibrated.value,share.weight.year,subs.share.weight,tech.share.weight
Central America and Caribbean,process heat cement,biomass,biomass,1990,delivered biomass,0.0078383,1990,1,1
Central America and Caribbean,process heat cement,biomass,biomass,2005,delivered biomass,0.0078522,2005,1,1
Central America and Caribbean,process heat cement,biomass,biomass,2010,delivered biomass,0.0081197,2010,1,1
Central America and Caribbean,process heat cement,biomass,biomass,2015,delivered biomass,0.0081197,2015,1,1
Central America and Caribbean,process heat cement,coal,coal,1975,delivered coal,0.0034325,1975,1,1
Central America and Caribbean,process heat cement,coal,coal,1990,delivered coal,0.0084139,1990,1,1
Central America and Caribbean,process heat cement,coal,coal,2005,delivered coal,0.0133194,2005,1,1
Central America and Caribbean,process heat cement,coal,coal,2010,delivered coal,0.0137719,2010,1,1
Central America and Caribbean,process heat cement,coal,coal,2015,delivered coal,0.0137719,2015,1,1
Central America and Caribbean,process heat cement,gas,gas,1975,wholesale gas,0.0066276,1975,1,1
Central America and Caribbean,process heat cement,gas,gas,1990,wholesale gas,0.0117377,1990,1,1
Central America and Caribbean,process heat cement,gas,gas,2005,wholesale gas,0.0154552,2005,1,1
Central America and Caribbean,process heat cement,gas,gas,2010,wholesale gas,0.0159914,2010,1,1
Central America and Caribbean,process heat cement,gas,gas,2015,wholesale gas,0.0159914,2015,1,1
Central America and Caribbean,process heat cement,refined liquids,refined liquids,1975,refined liquids industrial,0.0099414,1975,1,1
Central America and Caribbean,process heat cement,refined liquids,refined liquids,1990,refined liquids industrial,0.0181728,1990,1,1
Central America and Caribbean,process heat cement,refined liquids,refined liquids,2005,refined liquids industrial,0.0236426,2005,1,1
Central America and Caribbean,process heat cement,refined liquids,refined liquids,2010,refined liquids industrial,0.0244446,2010,1,1
Central America and Caribbean,process heat cement,refined liquids,refined liquids,2015,refined liquids industrial,0.0244446,2015,1,1
Central Asia,process heat cement,biomass,biomass,1975,delivered biomass,8.833e-4,1975,1,1
Central Asia,process heat cement,biomass,biomass,1990,delivered biomass,7.966e-4,1990,1,1
Central Asia,process heat cement,biomass,biomass,2005,delivered biomass,4.394e-4,2005,1,1
Central Asia,process heat cement,biomass,biomass,2010,delivered biomass,5.566e-4,2010,1,1
Central Asia,process heat cement,biomass,biomass,2015,delivered biomass,5.566e-4,2015,1,1
Central Asia,process heat cement,coal,coal,1975,delivered coal,0.006728,1975,1,1
Central Asia,process heat cement,coal,coal,1990,delivered coal,0.0067569,1990,1,1
Central Asia,process heat cement,coal,coal,2005,delivered coal,0.003343,2005,1,1
Central Asia,process heat cement,coal,coal,2010,delivered coal,0.0042515,2010,1,1
Central Asia,process heat cement,coal,coal,2015,delivered coal,0.0042515,2015,1,1
Central Asia,process heat cement,gas,gas,1975,wholesale gas,0.0596264,1975,1,1
Central Asia,process heat cement,gas,gas,1990,wholesale gas,0.0532246,1990,1,1
Central Asia,process heat cement,gas,gas,2005,wholesale gas,0.0296665,2005,1,1
Central Asia,process heat cement,gas,gas,2010,wholesale gas,0.0375637,2010,1,1
Central Asia,process heat cement,gas,gas,2015,wholesale gas,0.0375637,2015,1,1
Central Asia,process heat cement,refined liquids,refined liquids,1975,refined liquids industrial,0.0210895,1975,1,1
Central Asia,process heat cement,refined liquids,refined liquids,1990,refined liquids industrial,0.0188824,1990,1,1
Central Asia,process heat cement,refined liquids,refined liquids,2005,refined liquids industrial,0.0104925,2005,1,1
Central Asia,process heat cement,refined liquids,refined liquids,2010,refined liquids industrial,0.0132871,2010,1,1
Central Asia,process heat cement,refined liquids,refined liquids,2015,refined liquids industrial,0.0132871,2015,1,1
China,process heat cement,biomass,biomass,1975,delivered biomass,0,1975,0,0
China,process heat cement,biomass,biomass,1990,delivered biomass,0,1990,0,0
China,process heat cement,biomass,biomass,2005,delivered biomass,0,2005,0,0
China,process heat cement,biomass,biomass,2010,delivered biomass,0,2010,0,0
China,process heat cement,biomass,biomass,2015,delivered biomass,0,2015,0,0
China,process heat cement,coal,coal,1975,delivered coal,0.1423553,1975,1,1
China,process heat cement,coal,coal,1990,delivered coal,0.9008636,1990,1,1
China,process heat cement,coal,coal,2005,delivered coal,3.5356614,2005,1,1
China,process heat cement,coal,coal,2010,delivered coal,5.6025125,2010,1,1
China,process heat cement,coal,coal,2015,delivered coal,5.6025125,2015,1,1
China,process heat cement,gas,gas,1975,wholesale gas,0,1975,0,0
China,process heat cement,gas,gas,1990,wholesale gas,0,1990,0,0
China,process heat cement,gas,gas,2005,wholesale gas,0,2005,0,0
China,process heat cement,gas,gas,2010,wholesale gas,0,2010,0,0
