# Future population calculated as final historical year (2010) population times ratio of SSP future years to SSP 2010
scenario,year,iso,value
SSP5,2063,bmu,63.69200000000001
SSP5,2063,bol,11011.842460595379
SSP5,2063,bra,203371.43720444405
SSP5,2063,brb,244.62533008038326
SSP5,2063,brn,548.1210706680793
SSP5,2063,btn,1142.1595948422046
SSP5,2063,bwa,2773.9406379035713
SSP5,2063,caf,6434.577944194102
SSP5,2063,can,68522.79595436162
SSP5,2063,che,12527.94932838046
SSP5,2063,chi,165.38500000000002
SSP5,2063,chl,18821.99349520345
SSP5,2063,chn,1119544.089666825
SSP5,2063,civ,26368.7306577769
SSP5,2063,cmr,33821.92253927615
SSP5,2063,cod,143172.014803519
SSP5,2063,cog,8398.150904041418
SSP5,2063,cok,17.586
SSP5,2063,col,54531.648518643
SSP5,2063,com,895.148191536683
SSP5,2063,cpv,364.81891841262586
SSP5,2063,cri,6352.254078495432
SSP5,2063,cub,7083.502354270175
SSP5,2063,cym,61.724000000000004
SSP5,2063,cyp,1702.6557207539993
SSP5,2063,cze,14675.468706335527
SSP5,2063,deu,95506.82743561643
SSP5,2063,dji,1229.6898158673825
SSP5,2063,dma,71.18299999999999
SSP5,2063,dnk,8801.228347107179
SSP5,2063,dom,10319.658064394795
SSP5,2063,dza,45816.21222891122
SSP5,2063,ecu,18012.08242824243
SSP5,2063,egy,117397.71611682561
SSP5,2063,eri,6234.128277597274
SSP5,2063,esh,526.216
SSP5,2063,esp,64506.803901359854
SSP5,2063,est,1481.5482615161359
SSP5,2063,eth,157552.89577013592
SSP5,2063,fin,8068.049448508421
SSP5,2063,fji,581.0763658641614
SSP5,2063,flk,2.8339999999999996
SSP5,2063,fra,98085.59992018428
SSP5,2063,fro,48.050999999999995
SSP5,2063,fsm,45.76510851122632
SSP5,2063,gab,2608.366362123703
SSP5,2063,gbr,102668.2822849585
SSP5,2063,geo,2078.4238408541755
SSP5,2063,gha,42156.68484724792
SSP5,2063,gib,33.736000000000004
SSP5,2063,gin,11258.696806261618
SSP5,2063,glp,375.95514265141253
SSP5,2063,gmb,2938.0665023282445
SSP5,2063,gnb,2325.7405145257626
SSP5,2063,gnq,2264.2291477283957
SSP5,2063,grc,12456.65107933161
SSP5,2063,grd,69.74256480870447
SSP5,2063,grl,56.376999999999995
SSP5,2063,gtm,19315.496654597937
SSP5,2063,guf,377.34982001431683
SSP5,2063,gum,184.17539997484835
SSP5,2063,guy,424.0239027653063
SSP5,2063,hkg,10326.503972583616
SSP5,2063,hnd,10069.218404285893
SSP5,2063,hrv,3755.31812601256
SSP5,2063,hti,10070.825435063523
SSP5,2063,hun,10366.421921163193
SSP5,2063,idn,261186.53400381916
SSP5,2063,imn,83.23400000000001
SSP5,2063,ind,1532955.9087571262
SSP5,2063,irl,8281.454009758536
SSP5,2063,irn,83724.18196993969
SSP5,2063,irq,59442.458211902434
SSP5,2063,isl,654.219384092876
SSP5,2063,isr,20049.75165915045
SSP5,2063,ita,72495.64587060975
SSP5,2063,jam,1808.9757252664504
SSP5,2063,jor,18436.837759895163
SSP5,2063,jpn,121427.29661697579
SSP5,2063,kaz,19252.696933315056
SSP5,2063,ken,75168.40607855722
SSP5,2063,kgz,4958.765349338747
SSP5,2063,khm,13752.561616590947
SSP5,2063,kir,110.93
SSP5,2063,kna,51.203
SSP5,2063,kor,51617.854002503416
SSP5,2063,kwt,7906.620140674216
SSP5,2063,lao,7002.859845552611
SSP5,2063,lbn,6649.245486135528
SSP5,2063,lbr,11195.609326072969
SSP5,2063,lby,8093.084719158502
SSP5,2063,lca,182.14196822863096
SSP5,2063,lie,37.47
SSP5,2063,lka,18484.574662936135
SSP5,2063,lso,2182.060945519383
SSP5,2063,ltu,1994.1649375768677
SSP5,2063,lux,1244.083182286635
SSP5,2063,lva,1533.3438119439577
SSP5,2063,mac,895.2775846657562
SSP5,2063,mar,29047.89138918168
SSP5,2063,mco,37.718
SSP5,2063,mda,1591.2077212652343
SSP5,2063,mdg,40765.84356383625
SSP5,2063,mdv,569.3272497751638
SSP5,2063,mex,120711.36559339488
SSP5,2063,mhl,57.439
SSP5,2063,mkd,2363.536974391081
SSP5,2063,mli,31291.342956406388
SSP5,2063,mlt,444.9057799192218
SSP5,2063,mmr,40830.5050286326
SSP5,2063,mne,664.5255228712325
SSP5,2063,mng,3284.392472495112
SSP5,2063,mnp,55.78
SSP5,2063,moz,40960.50256687553
SSP5,2063,mrt,5903.2358626685755
SSP5,2063,msr,4.967
SSP5,2063,mtq,359.33383190605804
SSP5,2063,mus,1280.6314463866966
SSP5,2063,mwi,36398.71513694114
SSP5,2063,mys,40352.58713811154
SSP5,2063,myt,428.75194461240443
SSP5,2063,nam,3008.5972333934587
SSP5,2063,ncl,406.23501446630615
SSP5,2063,ner,48472.46632107571
SSP5,2063,nga,377937.6848977104
SSP5,2063,nic,4609.668425946698
SSP5,2063,niu,1.619
SSP5,2063,nld,23464.159044191692
SSP5,2063,nor,10209.376938119527
SSP5,2063,npl,36329.744639599616
SSP5,2063,nru,10.383000000000001
SSP5,2063,nzl,7794.251476110386
SSP5,2063,omn,6166.918937432084
SSP5,2063,pak,261399.18654837649
SSP5,2063,pan,4904.738737708461
SSP5,2063,per,24836.860376913817
SSP5,2063,phl,133267.69956726133
SSP5,2063,plw,17.665
SSP5,2063,png,11088.250743928911
SSP5,2063,pol,38792.29368249097
SSP5,2063,pri,1749.2670972283722
